 Line    Col  Terminal         Value
 ----    ---  --------------   -----
    1      1  COMMENT          /* 12 factorial is 479001600 */
    3      1  IDENTIFIER       n
    3      3  ASSIGN           null
    3      5  INTEGER          12
    3      7  SEMICOLON        null
    4      1  IDENTIFIER       result
    4      8  ASSIGN           null
    4     10  INTEGER          1
    4     11  SEMICOLON        null
    5      1  IDENTIFIER       i
    5      3  ASSIGN           null
    5      5  INTEGER          1
    5      6  SEMICOLON        null
    6      1  WHILE            null
    6      7  LPAREN           null
    6      8  IDENTIFIER       i
    6     10  LESSEQUAL        null
    6     13  IDENTIFIER       n
    6     14  RPAREN           null
    6     16  LCURLY           null
    7      5  IDENTIFIER       result
    7     12  ASSIGN           null
    7     14  IDENTIFIER       result
    7     21  MULTIPLY         null
    7     23  IDENTIFIER       i
    7     24  SEMICOLON        null
    8      5  IDENTIFIER       i
    8      7  ASSIGN           null
    8      9  IDENTIFIER       i
    8     11  PLUS             null
    8     13  INTEGER          1
    8     14  SEMICOLON        null
    9      1  RCURLY           null
   10      1  PRINT            null
   10      6  LPAREN           null
   10      7  IDENTIFIER       result
   10     13  RPAREN           null
   10     14  SEMICOLON        null
   10      0  EOF              null

