 Line    Col  Terminal         Value
 ----    ---  --------------   -----
    1      1  IDENTIFIER       public
    1      8  IDENTIFIER       class
    1     14  IDENTIFIER       Foo
    1     18  LCURLY           null
    3      3  IDENTIFIER       public
    3     10  IDENTIFIER       void
    3     15  IDENTIFIER       foo
    3     18  LPAREN           null
    3     19  RPAREN           null
    3     21  LCURLY           null
    4      7  IDENTIFIER       int
    4     11  IDENTIFIER       n
    4     13  ASSIGN           null
    4     15  INTEGER          5
    4     16  SEMICOLON        null
    5      7  IDENTIFIER       for
    5     11  LPAREN           null
    5     12  IDENTIFIER       int
    5     16  IDENTIFIER       i
    5     18  ASSIGN           null
    5     20  INTEGER          0
    5     21  SEMICOLON        null
    5     23  IDENTIFIER       i
    5     25  LESS             null
    5     27  INTEGER          5
    5     28  SEMICOLON        null
    5     30  IDENTIFIER       i
    5     31  PLUS             null
    5     32  PLUS             null
    5     33  RPAREN           null
    5     35  LCURLY           null
    6      9  IDENTIFIER       System
    7      7  RCURLY           null
    8      3  RCURLY           null
   10      1  RCURLY           null
   10      0  EOF              null

