 Line    Col  Terminal         Value
 ----    ---  --------------   -----
    1      1  IDENTIFIER       a
    1      3  ASSIGN           null
    1      5  STRING           Hello
    1     12  SEMICOLON        null
    2      1  IDENTIFIER       b
    2      3  ASSIGN           null
    2      5  STRING           world
    2     12  SEMICOLON        null
    3      1  IDENTIFIER       c
    3      3  ASSIGN           null
    3      5  CHARACTER        !
    3      8  SEMICOLON        null
    4      1  PRINT            null
    4      6  LPAREN           null
    4      7  IDENTIFIER       a
    4      9  PLUS             null
    4     11  IDENTIFIER       b
    4     13  PLUS             null
    4     15  IDENTIFIER       c
    4     16  RPAREN           null
    4     17  SEMICOLON        null
    4      0  EOF              null

